screen_name,owner,category,created_at,description
elvicunense,Red de Diarios Comunales,Generalista,2013-04-09 00:43:29+00:00,"Diario Electronico de la Comuna de Vicuna, perteneciente a la Red de Diarios Comunales http://t.co/ohoiO5TodX"
elovallino,Antonio Puga,Generalista,2010-01-07 16:18:18+00:00,Somos el diario mas representativo de la zona. Estamos comprometidos con el desarrollo de nuestra gente y ciudad. Sentimos Pasion por el Limari...
elboyaldia,Asesorias e Inversiones Comunidades Ciudadanas,Generalista,2010-03-22 16:30:47+00:00,El primer diario digital de #Iquique y #Tarapaca. Parte de la red de diarios ciudadanos de @RedMiVoz #LaRegionEsTuya
cooperativa,Fundacion para las Comunicaciones Sociales,Generalista,2007-07-23 22:31:14+00:00,Actualidad Online. Siguenos tambien en https://t.co/OH2JZ3kKye
canal_13c,Inversiones Canal 13,Cultura,2012-05-07 16:20:39+00:00,"Somos un canal cultural chileno, que mira al mundo desde lo local. Somos Cultura Con Otros Ojos. ¡Comenta con #13C! Twitter oficial de 13C."
33temuco,Unknown,Generalista,2014-12-31 01:56:48+00:00,
diariodeaysen,Sociedad Periodistica de Aysen,Generalista,2013-04-04 15:58:55+00:00,
austral_osorno,El Mercurio,Generalista,2009-09-25 17:47:44+00:00,"El Austral, el Diario de Osorno."
radioportalesv,Radio Portales Valparaiso,Musica y Noticias,2010-02-05 21:13:26+00:00,Desde 1960 acompanando a las familias de la V region. Radioemisora AUTÉNTICAMENTE PORTEÑA /89.5 fm/ 840 am #LaPrimeraDeChile
t13,Inversiones Canal 13,Generalista,2009-03-17 20:54:09+00:00,Cuenta oficial de las plataformas informativas del Departamento de Prensa de Canal 13.
diarioelcomunal,Red de Diarios Comunales,Generalista,2010-10-05 02:27:33+00:00,"Diario Electronico Comuna de La Higuera, perteneciente a Red de Diarios Comunales http://t.co/6p8o8X64Mu"
sabrosia,Betazeta Networks,Gastronomia,2012-03-29 19:19:04+00:00,Cualquiera puede cocinar.
bolido_com,Betazeta Networks,Automotriz,2010-10-15 17:08:35+00:00,Corazon de piston.
hoyxhoycl,El Mercurio,Generalista,2012-09-24 19:42:53+00:00,El diario que no tiene precio.
40chileoficial,Grupo Prisa,Musica,2010-08-02 16:28:45+00:00,La radio de los exitos.
el_bulnensino,Unknown,Generalista,2011-07-10 21:49:00+00:00,"Diario Electronico de Bulnes, Provincia de Ñuble, Chile"
radiobravissima,Unknown,Musica y Noticias,2010-05-28 02:05:45+00:00,"BRAVISSIMA 88.7 FM. Una Radio Opinion en la Primera Region. Una Radio noticiosa, pluralista y objetiva"
radiovalparaiso,Comunicaciones Pacifico,Musica y Noticias,2009-04-16 03:12:57+00:00,"Radio Valparaiso escucha tu region 102.5 FM, 121AM y ahora en Tongoy en el 90.9FM. Musica, noticias, opinion y deportes."
el_timeline,Unknown,Generalista,2013-04-28 02:53:26+00:00,Comunidad Informativa de #Antofagasta donde encontraras las noticias que te interesan. Te invitamos a informarte con nosotros ¿Te animas?
tvcontivision,Television Contivision ,Generalista,2012-10-17 22:05:46+00:00,Television Contivision Ltda. Septima Region Del Maule
